 DetID      Z            X0            X4           Y0           Y4       
     4     6.200000    -4.235341    -0.371638     8.079102     9.114378
     5     6.200000    -7.707464    -4.879037     4.879036     7.707464
     6     6.200000    -9.114377    -8.079102     0.371638     4.235341
     7     6.200000    -8.079101    -9.114378    -4.235341    -0.371638
     8     6.200000    -4.879035    -7.707464    -7.707463    -4.879037
     9     6.200000    -0.371637    -4.235341    -9.114377    -8.079102
    10     6.200000     4.235342     0.371638    -8.079101    -9.114378
    11     6.200000     7.707463     4.879037    -4.879035    -7.707464
    12     6.200000     9.114376     8.079102    -0.371636    -4.235341
    13     6.200000     8.079100     9.114378     4.235342     0.371638
    14     6.200000     4.879035     7.707464     7.707463     4.879037
    15     6.200000     0.371636     4.235341     9.114376     8.079102
    16    17.500000    -4.235342    -0.371638     8.079100     9.114378
    17    17.500000    -7.707463    -4.879037     4.879035     7.707464
    18    17.500000    -9.114376    -8.079102     0.371636     4.235341
    19    17.500000    -8.079100    -9.114378    -4.235342    -0.371638
    20    17.500000    -4.879035    -7.707464    -7.707463    -4.879037
    21    17.500000    -0.371636    -4.235341    -9.114376    -8.079102
    22    17.500000     4.235342     0.371638    -8.079100    -9.114378
    23    17.500000     7.707463     4.879037    -4.879035    -7.707464
    24    17.500000     9.114376     8.079102    -0.371636    -4.235341
    25    17.500000     8.079100     9.114378     4.235342     0.371638
    26    17.500000     4.879035     7.707464     7.707463     4.879037
    27    17.500000     0.371636     4.235341     9.114376     8.079102
