Wire	Slope	Shift
0	20.3967741935	10.6617709677
1	19.2774390244	11.7852103659
2	18.4883040936	10.6113157895
3	19.0451807229	11.9103975904
4	19.5758513932	12.0012012384
5	18.8746268657	10.5159492537
6	18.00		14.00
7	20.9421768707	9.2268945578
8	22.5531135531	9.8825457875
9	22.3079710145	9.5469456522
10	21.7561837456	8.5449787986
11	20.5919732441	10.2522207358
12	18.00		14.00
13	23.5		9.197
14	21.0136518771	9.967447099
15	21.8333333333	10.1853333333
16	23.5		9.573
17	19.733974359	11.094775641
18	19.3616352201	10.1214811321
19	21.0766666667	11.86926
20	20.731147541	12.6342393443
21	19.3363914373	11.5262324159
22	20.3311897106	11.9339131833
23	19.759375	10.853628125
