DetNum	FrontCh	Gain
4	0	0
4	1	1
4	2	1
4	3	1
4	4	1
4	5	1
4	6	1
4	7	1
4	8	0.973457
4	9	1.06865
4	10	0.927649
4	11	1.10559
5	0	1
5	1	1
5	2	1
5	3	1
5	4	1
5	5	1
5	6	1
5	7	1
5	8	1.03868
5	9	1.02839
5	10	1.03395
5	11	0.970196
6	0	1
6	1	1
6	2	1
6	3	1
6	4	1
6	5	1
6	6	1
6	7	1
6	8	1
6	9	1
6	10	1
6	11	1
7	0	1
7	1	1
7	2	1
7	3	1
7	4	1
7	5	1
7	6	1
7	7	1
7	8	1.03622
7	9	1.01118
7	10	1.01432
7	11	0.997209
8	0	1
8	1	1
8	2	1
8	3	1
8	4	1
8	5	1
8	6	1
8	7	1
8	8	0.998688
8	9	1.03192
8	10	1.0502
8	11	1.11768
9	0	1
9	1	1
9	2	1
9	3	1
9	4	1
9	5	1
9	6	1
9	7	1
9	8	5
9	9	1
9	10	1
9	11	-0.666667
10	0	1
10	1	1
10	2	1
10	3	1
10	4	1
10	5	1
10	6	1
10	7	1
10	8	0.997722
10	9	0.965446
10	10	0.948117
10	11	1.03126
11	0	1
11	1	1
11	2	1
11	3	1
11	4	1
11	5	1
11	6	1
11	7	1
11	8	2.66557
11	9	1.13105
11	10	-7.86282
11	11	-2
12	0	1
12	1	1
12	2	1
12	3	1
12	4	1
12	5	1
12	6	1
12	7	1
12	8	1.04645
12	9	0.996012
12	10	1.10654
12	11	1
13	0	1
13	1	1
13	2	1
13	3	1
13	4	1
13	5	1
13	6	1
13	7	1
13	8	1
13	9	1
13	10	1
13	11	1
14	0	1
14	1	1
14	2	1
14	3	1
14	4	1
14	5	1
14	6	1
14	7	1
14	8	1.03382
14	9	1.01858
14	10	1.0826
14	11	0.974069
15	0	1
15	1	1
15	2	1
15	3	1
15	4	1
15	5	1
15	6	1
15	7	1
15	8	0.994728
15	9	0.944734
15	10	1.05546
15	11	0.968223
16	0	1
16	1	1
16	2	1
16	3	1
16	4	1
16	5	1
16	6	1
16	7	1
16	8	0.901282
16	9	1.01735
16	10	0.898125
16	11	0.992966
17	0	1
17	1	1
17	2	1
17	3	1
17	4	1
17	5	1
17	6	1
17	7	1
17	8	1.04378
17	9	1.09188
17	10	1.09913
17	11	0.93604
18	0	1
18	1	1
18	2	1
18	3	1
18	4	1
18	5	1
18	6	1
18	7	1
18	8	-2
18	9	1
18	10	1
18	11	1
19	0	1
19	1	1
19	2	1
19	3	1
19	4	1
19	5	1
19	6	1
19	7	1
19	8	1.03343
19	9	1.00734
19	10	1.05592
19	11	0.957862
20	0	1
20	1	1
20	2	1
20	3	1
20	4	1
20	5	1
20	6	1
20	7	1
20	8	0.922784
20	9	1.06943
20	10	1.03069
20	11	0.983979
21	0	1
21	1	1
21	2	1
21	3	1
21	4	1
21	5	1
21	6	1
21	7	1
21	8	1.08474
21	9	1.05055
21	10	1.00062
21	11	0.940983
22	0	1
22	1	1
22	2	1
22	3	1
22	4	1
22	5	1
22	6	1
22	7	1
22	8	0.958742
22	9	0.961535
22	10	0.947043
22	11	0.987387
23	0	1
23	1	1
23	2	1
23	3	1
23	4	1
23	5	1
23	6	1
23	7	1
23	8	1.00486
23	9	0.987065
23	10	1.04884
23	11	0.988092
24	0	1
24	1	1
24	2	1
24	3	1
24	4	1
24	5	1
24	6	1
24	7	1
24	8	0.968259
24	9	0.953656
24	10	0.960113
24	11	0.994374
25	0	1
25	1	1
25	2	1
25	3	1
25	4	1
25	5	1
25	6	1
25	7	1
25	8	1.05616
25	9	1.03303
25	10	1.06647
25	11	0.901672
26	0	1
26	1	1
26	2	1
26	3	1
26	4	1
26	5	1
26	6	1
26	7	1
26	8	1.03992
26	9	1.10122
26	10	1.06681
26	11	1.05961
27	0	1
27	1	1
27	2	1
27	3	1
27	4	1
27	5	1
27	6	1
27	7	1
27	8	0.0625
27	9	0.98542
27	10	0.953165
27	11	0.936664
