DetNum	FrontCh	Gain//////////////////////////////////////
0	0	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	9	1
0	10	1
0	11	1
0	12	1
0	13	1
0	14	1
0	15	1
0	16	1.01153
0	17	0.990407
0	18	1.01469
0	19	1.01308
0	20	1.05033
0	21	0.995919
0	22	0.996935
0	23	1.00342
0	24	0.978166
0	25	1.01732
0	26	0.997802
0	27	0.988274
0	28	1.00047
0	29	0.975225
0	30	0.934367
0	31	1.0469
1	0	1
1	1	1
1	2	1
1	3	1
1	4	1
1	5	1
1	6	1
1	7	1
1	8	1
1	9	1
1	10	1
1	11	1
1	12	1
1	13	1
1	14	1
1	15	1
1	16	0.970205
1	17	0.973608
1	18	1.02705
1	19	1.01526
1	20	1
1	21	1.01115
1	22	0.966121
1	23	0.979783
1	24	1.02785
1	25	0.993896
1	26	0.990125
1	27	1.0183
1	28	1.01861
1	29	0.970754
1	30	1
1	31	0.990299
2	0	1
2	1	1
2	2	1
2	3	1
2	4	1
2	5	1
2	6	1
2	7	1
2	8	1
2	9	1
2	10	1
2	11	1
2	12	1
2	13	1
2	14	1
2	15	1
2	16	1.11867
2	17	1.01318
2	18	1.02627
2	19	0.979634
2	20	1.00694
2	21	1.02148
2	22	1.04636
2	23	1.04625
2	24	1.08536
2	25	1.64871
2	26	1.00946
2	27	1.03393
2	28	1.01311
2	29	1.0264
2	30	1
2	31	1
3	0	1
3	1	1
3	2	1
3	3	1
3	4	1
3	5	1
3	6	1
3	7	1
3	8	1
3	9	1
3	10	1
3	11	1
3	12	1
3	13	1
3	14	1
3	15	1
3	16	0.894228
3	17	0.93904
3	18	0.940262
3	19	0.951197
3	20	0.937195
3	21	0.935475
3	22	0.960386
3	23	0.929508
3	24	0.898418
3	25	0.941436
3	26	0.933054
3	27	0.967922
3	28	0.956157
3	29	0.977088
3	30	0.929978
3	31	0.989911
