Wire	Slope	Shift
0	1.00014	-2.7643e-05
1	1.00041	-5.88011e-05
2	0.999054	5.74909e-05
3	1.00045	-6.37008e-05
4	0.998508	0.000107165
5	1.00027	-3.68885e-05
6	0.99899	4.37222e-05
7	0.996662	0.000102391
8	0.999754	2.81452e-05
9	0.99855	9.50099e-05
10	1.00004	-1.5019e-05
11	0.998994	5.1842e-05
12	0.999064	3.75918e-05
13	1.00007	-4.98638e-05
14	0.999492	-6.13788e-06
15	0.998792	4.74959e-05
16	1		0
17	1.00046	-4.33481e-05
18	1.00143	-0.000108662
19	0.998923	4.60145e-05
20	0.996566	0.000122988
21	1.00052	-4.52394e-05
22	1.0002	-1.29201e-05
23	0.999709	-2.84501e-05
