ID	Chan	Volt offset	Volts/Chan
2	0	-0.00972642	3.40065e-05
2	1	-0.00937231	3.36931e-05
2	2	-0.0104505	3.20648e-05
2	3	-0.00963054	3.42947e-05
2	4	-0.0104142	3.38752e-05
2	5	-0.0104552	3.46931e-05
2	6	-0.0101083	3.23337e-05
2	7	-0.0109871	3.77006e-05
2	8	-0.00970792	3.27546e-05
2	9	-0.00941687	3.36572e-05
2	10	-0.0100328	3.39342e-05
2	11	-0.00981989	3.48707e-05
2	12	-0.0101788	3.70631e-05
2	13	-0.00972932	3.41518e-05
2	14	-0.00989107	3.15565e-05
2	15	-0.00950525	3.41126e-05
2	16	-0.0105284	3.43312e-05
2	17	-0.0105236	3.79217e-05
2	18	-0.0108101	3.40764e-05
2	19	-0.0106983	3.31389e-05
2	20	-0.0109178	3.36348e-05
2	21	-0.00973823	3.1611e-05
2	22	-0.0100317	2.9927e-05
2	23	-0.00951916	3.47823e-05
2	24	-0.0101265	3.17668e-05
2	25	-0.0097578	3.36235e-05
2	26	-0.0108657	3.31946e-05
2	27	-0.00958966	3.40773e-05
2	28	-0.0109818	3.55412e-05
2	29	-0.0105623	3.28881e-05
2	30	-0.00994236	3.36393e-05
2	31	-0.00962156	3.45806e-05
3	1	-0.00911139	3.19927e-05
3	2	-0.0102218	3.36416e-05
3	3	-0.0090257	3.55885e-05
3	4	-0.0105211	3.74646e-05
3	5	-0.0106948	3.25186e-05
3	6	-0.00970413	3.56719e-05
3	7	-0.0100201	3.3517e-05
3	8	-0.0100533	3.31098e-05
3	9	-0.0100489	3.38065e-05
3	10	-0.0113373	3.67951e-05
3	11	-0.0108285	3.47129e-05
3	12	-0.0106691	3.20486e-05
3	13	-0.0113801	3.42912e-05
3	14	-0.00955991	3.28879e-05
3	15	-0.0111337	3.53559e-05
