ID	Chan	Volt zero	Volts/Chan
2	0	-0.00198961	3.40105e-05
2	1	-0.0016293	3.35939e-05
2	2	-0.00263495	3.19388e-05
2	3	-0.00190422	3.43103e-05
2	4	-0.00269619	3.39143e-05
2	5	-0.00264318	3.45514e-05
2	6	-0.00215159	3.23548e-05
2	7	-0.00325983	3.76859e-05
2	8	-0.00200715	3.26366e-05
2	9	-0.00163373	3.36851e-05
2	10	-0.00228479	3.38488e-05
2	11	-0.00207752	3.49163e-05
2	12	-0.00253955	3.70737e-05
2	13	-0.00203427	3.41893e-05
2	14	-0.0021616	3.15563e-05
2	15	-0.00182615	3.41336e-05
2	16	-0.00273034	3.43439e-05
2	17	-0.00267375	3.79255e-05
2	18	-0.00305235	3.41044e-05
2	19	-0.00286762	3.31516e-05
2	20	-0.00332244	3.37304e-05
2	21	-0.00188022	3.16004e-05
2	22	-0.00207293	2.98263e-05
2	23	-0.00190092	3.48793e-05
2	24	-0.00245195	3.1638e-05
2	25	-0.00210479	3.36766e-05
2	26	-0.00303063	3.31216e-05
2	27	-0.00195436	3.39889e-05
2	28	-0.00331686	3.54744e-05
2	29	-0.00273599	3.27664e-05
2	30	-0.00220396	3.36482e-05
2	31	-0.00198463	3.45152e-05
3	1	-0.00141914	3.18909e-05
3	2	-0.00250764	3.36595e-05
3	3	-0.00143757	3.54954e-05
3	4	-0.00302621	3.75927e-05
3	5	-0.00293311	3.241e-05
3	6	-0.00205258	3.5697e-05
3	7	-0.0023652	3.3549e-05
3	8	-0.00256911	3.31497e-05
3	9	-0.00240931	3.36967e-05
3	10	-0.00372527	3.67022e-05
3	11	-0.00316408	3.45801e-05
3	12	-0.00301663	3.1922e-05
3	13	-0.00367368	3.41737e-05
3	14	-0.00192383	3.2886e-05
3	15	-0.00351935	3.53704e-05
