DetNum	FrontCh	Offset
0	0	-3.80645
0	1	-0.983972
0	2	-2.32921
0	3	27.0647
0	4	8.31004
0	5	17.4778
0	6	15.908
0	7	-2.80117
0	8	13.7643
0	9	25.4111
0	10	2.10401
0	11	-1.91489
0	12	7.3494
0	13	-1.94702
0	14	2.94786
0	15	36.884
0	16	30.1635
0	17	31.4127
0	18	27.672
0	19	24.0039
0	20	26.7309
0	21	25.5864
0	22	23.6706
0	23	25.8715
0	24	22.7345
0	25	21.3721
0	26	23.3206
0	27	19.254
0	28	16.0504
0	29	18.7625
0	30	14.7398
0	31	15.6274
1	0	-1.00421
1	1	3.44937
1	2	5.23153
1	3	-6.31445
1	4	-3.04538
1	5	12.4907
1	6	-9.20351
1	7	2.72442
1	8	0.408178
1	9	-5.70863
1	10	-9.27638
1	11	-14.5036
1	12	-3.74844
1	13	-11.8418
1	14	-9.814
1	15	-26.9309
1	16	-6.83574
1	17	0.520187
1	18	18.477
1	19	25.1237
1	20	0
1	21	37.6576
1	22	36.4191
1	23	36.9626
1	24	41.5744
1	25	41.2028
1	26	34.9517
1	27	39.8959
1	28	36.0444
1	29	35.8017
1	30	0
1	31	29.7989
2	0	0
2	1	0
2	2	0
2	3	0
2	4	-5.19266
2	5	-12.5392
2	6	16.2981
2	7	-15.6329
2	8	-7.85543
2	9	-9.81742
2	10	-13.3116
2	11	-10.1023
2	12	-44.408
2	13	-39.2579
2	14	-31.4395
2	15	-46.2674
2	16	-12.1251
2	17	-2.21621
2	18	7.55718
2	19	23.0354
2	20	25.4787
2	21	28.1435
2	22	34.9585
2	23	36.6894
2	24	37.4815
2	25	87.1786
2	26	29.1934
2	27	49.1491
2	28	28.1952
2	29	27.6104
2	30	0
2	31	0
3	0	-5.06377
3	1	10.1512
3	2	0.15333
3	3	7.73982
3	4	-5.15419
3	5	4.04302
3	6	3.6084
3	7	4.252
3	8	8.50331
3	9	6.3135
3	10	5.94592
3	11	7.80156
3	12	13.9415
3	13	84.6948
3	14	-0.485329
3	15	25.9388
3	16	26.3894
3	17	22.7503
3	18	26.0293
3	19	23.4486
3	20	23.9564
3	21	20.2495
3	22	21.404
3	23	18.417
3	24	17.453
3	25	16.0634
3	26	15.0558
3	27	17.5293
3	28	13.3373
3	29	18.4256
3	30	10.0632
3	31	7.71814
