DetNum	FrontCh	Gain
0	0	1
0	1	1.01242
0	2	1.00262
0	3	0.996122
0	4	1.00788
0	5	0.997898
0	6	1.02013
0	7	1.07609
0	8	1.02919
0	9	1.02479
0	10	1.04749
0	11	1.03896
0	12	1.018
0	13	1.01877
0	14	1.04093
0	15	1.04984
0	16	1.01212
0	17	0.990752
0	18	1.01452
0	19	1.01318
0	20	1.05016
0	21	0.996336
0	22	0.996788
0	23	1.00342
0	24	0.978447
0	25	1.01724
0	26	0.997857
0	27	0.988149
0	28	1.00029
0	29	0.974928
0	30	0.934736
0	31	1.04643
1	0	1
1	1	0.988239
1	2	0.958932
1	3	0.99519
1	4	0.982477
1	5	1.02352
1	6	1.03423
1	7	0.981115
1	8	0.974884
1	9	0.958254
1	10	0.954685
1	11	0.972914
1	12	0.973779
1	13	0.95495
1	14	0.956962
1	15	0.973606
1	16	0.969467
1	17	0.973404
1	18	1.02674
1	19	1.01481
1	20	0
1	21	1.01114
1	22	0.966235
1	23	0.979741
1	24	1.02753
1	25	0.993925
1	26	0.990169
1	27	1.01822
1	28	1.01859
1	29	0.970324
1	30	0
1	31	0.990153
2	0	0
2	1	0
2	2	0
2	3	0
2	4	1.00081
2	5	1.06144
2	6	1.06323
2	7	1.00983
2	8	1.05419
2	9	1.04599
2	10	1.04285
2	11	1.01037
2	12	1.09118
2	13	1.02149
2	14	1.05541
2	15	1.0728
2	16	1.11867
2	17	1.0142
2	18	1.02769
2	19	0.98006
2	20	1.00727
2	21	1.02231
2	22	1.04733
2	23	1.04708
2	24	1.08624
2	25	1.6504
2	26	1.01022
2	27	1.03452
2	28	1.01371
2	29	1.027
2	30	0
2	31	0
3	0	1
3	1	0.998436
3	2	0.965716
3	3	0.978462
3	4	0.953598
3	5	0.98028
3	6	0.937455
3	7	0.967531
3	8	0.97921
3	9	0.92628
3	10	0.933271
3	11	0.963918
3	12	0.994043
3	13	0.870944
3	14	0.903314
3	15	0.963782
3	16	0.893916
3	17	0.938675
3	18	0.940349
3	19	0.951085
3	20	0.936956
3	21	0.935575
3	22	0.960553
3	23	0.929912
3	24	0.898542
3	25	0.941424
3	26	0.933304
3	27	0.968306
3	28	0.955702
3	29	0.977177
3	30	0.929702
3	31	0.989795
