DetNum	FrontCh	Gain
0	0	1.00034
0	1	1.01606
0	2	1.00204
0	3	0.996341
0	4	1.00775
0	5	0.998605
0	6	1.02053
0	7	1.07594
0	8	1.03018
0	9	1.02588
0	10	1.04723
0	11	1.03925
0	12	1.01857
0	13	1.0196
0	14	1.04079
0	15	1.0485
0	16	1.01225
0	17	0.991174
0	18	1.01364
0	19	1.01305
0	20	1.05035
0	21	0.995307
0	22	0.997193
0	23	1.00358
0	24	0.977856
0	25	1.01719
0	26	0.997374
0	27	0.988071
0	28	0.999588
0	29	0.97466
0	30	0.933812
0	31	1.04589
1	0	0.999785
1	1	0.988955
1	2	0.958465
1	3	0.997955
1	4	0.983235
1	5	1.02687
1	6	1.03425
1	7	0.983115
1	8	0.976032
1	9	0.959433
1	10	0.95512
1	11	0.973166
1	12	0.975642
1	13	0.95717
1	14	0.953619
1	15	0.972267
1	16	0.971584
1	17	0.972925
1	18	1.02645
1	19	1.01419
1	20	0
1	21	1.00979
1	22	0.965882
1	23	0.978706
1	24	1.02756
1	25	0.99309
1	26	0.990208
1	27	1.01877
1	28	1.01701
1	29	0.970801
1	30	0
1	31	0.98905
2	0	0
2	1	0
2	2	0
2	3	0
2	4	1.00188
2	5	1.06308
2	6	1.06747
2	7	1.01077
2	8	1.05001
2	9	1.0455
2	10	1.045
2	11	1.0103
2	12	1.08896
2	13	1.02088
2	14	1.0525
2	15	1.06601
2	16	1.11979
2	17	1.0143
2	18	1.02741
2	19	0.981788
2	20	1.00832
2	21	1.02303
2	22	1.05279
2	23	1.04833
2	24	1.08828
2	25	1.65263
2	26	1.01171
2	27	1.03677
2	28	1.01561
2	29	1.02857
2	30	0
2	31	0
3	0	1.00067
3	1	0.99901
3	2	0.966903
3	3	0.979539
3	4	0.955162
3	5	0.981159
3	6	0.937345
3	7	0.968147
3	8	0.979955
3	9	0.927059
3	10	0.934267
3	11	0.964681
3	12	0.994924
3	13	0.873112
3	14	0.903227
3	15	0.962698
3	16	0.893189
3	17	0.938146
3	18	0.940809
3	19	0.952283
3	20	0.946466
3	21	0.935471
3	22	0.960247
3	23	0.928695
3	24	0.898583
3	25	0.94196
3	26	0.933012
3	27	0.968516
3	28	0.956102
3	29	0.977062
3	30	0.929557
3	31	0.988006
