DetNum	FrontCh	Offset
4	0	0
4	1	4.07308
4	2	3.93453
4	3	-5.13828
4	4	8.23456
4	5	13.5869
4	6	8.35609
4	7	48.2071
4	8	8.23456
4	9	13.5869
4	10	8.35609
4	11	48.2071
5	0	0
5	1	-33.5821
5	2	-31.9738
5	3	-4.95993
5	4	47.6192
5	5	50.4733
5	6	55.6691
5	7	55.9949
5	8	47.6192
5	9	50.4733
5	10	55.6691
5	11	55.9949
6	0	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
7	0	0
7	1	5.96932
7	2	-3.82913
7	3	-8.55577
7	4	67.8221
7	5	69.0378
7	6	66.3332
7	7	75.7256
7	8	67.8221
7	9	69.0378
7	10	66.3332
7	11	75.7256
8	0	0
8	1	0.248967
8	2	-2.73114
8	3	-6.67664
8	4	43.1552
8	5	48.4975
8	6	45.873
8	7	49.6072
8	8	43.1552
8	9	48.4975
8	10	45.873
8	11	49.6072
9	0	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	0
9	8	0
9	9	0
9	10	0
9	11	0
10	0	0
10	1	15.3994
10	2	13.2028
10	3	-2.99197
10	4	59.964
10	5	61.4817
10	6	43.7229
10	7	25.5424
10	8	59.964
10	9	61.4817
10	10	43.7229
10	11	25.5424
11	0	0
11	1	0
11	2	0
11	3	0
11	4	50.9535
11	5	57.4744
11	6	85.3219
11	7	0
11	8	50.9535
11	9	57.4744
11	10	85.3219
11	11	0
12	0	0
12	1	13.9167
12	2	17.6194
12	3	-1.49836
12	4	72.2874
12	5	69.5454
12	6	246.645
12	7	0
12	8	72.2874
12	9	69.5454
12	10	246.645
12	11	0
13	0	0
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	0
13	7	0
13	8	0
13	9	0
13	10	0
13	11	0
14	0	0
14	1	8.51272
14	2	5.17284
14	3	0.835877
14	4	4.62787
14	5	8.85939
14	6	12.4158
14	7	13.8902
14	8	4.62787
14	9	8.85939
14	10	12.4158
14	11	13.8902
15	0	0
15	1	8.72715
15	2	4.89474
15	3	3.88451
15	4	6.97632
15	5	7.31776
15	6	6.9222
15	7	8.73175
15	8	6.97632
15	9	7.31776
15	10	6.9222
15	11	8.73175
16	0	0
16	1	-27.7889
16	2	11.2675
16	3	18.6649
16	4	38.4341
16	5	59.4866
16	6	57.1455
16	7	-0.202302
16	8	38.4341
16	9	59.4866
16	10	57.1455
16	11	-0.202302
17	0	0
17	1	67.7327
17	2	91.4053
17	3	-109.885
17	4	26.0275
17	5	284.691
17	6	30.3986
17	7	37.5512
17	8	26.0275
17	9	284.691
17	10	30.3986
17	11	37.5512
18	0	0
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	0
18	8	0
18	9	0
18	10	0
18	11	0
19	0	0
19	1	27.7563
19	2	9.18985
19	3	-639.731
19	4	57.7966
19	5	58.3111
19	6	29.6802
19	7	17.4455
19	8	57.7966
19	9	58.3111
19	10	29.6802
19	11	17.4455
20	0	0
20	1	2.77417
20	2	2.09748
20	3	-1.89367
20	4	41.4214
20	5	36.1801
20	6	49.0104
20	7	54.8255
20	8	41.4214
20	9	36.1801
20	10	49.0104
20	11	54.8255
21	0	0
21	1	18.2788
21	2	13.251
21	3	0.0187055
21	4	0
21	5	47.044
21	6	0
21	7	55.0538
21	8	0
21	9	47.044
21	10	0
21	11	55.0538
22	0	0
22	1	16.1054
22	2	12.253
22	3	8.66155
22	4	53.2659
22	5	54.6677
22	6	63.7024
22	7	58.5248
22	8	53.2659
22	9	54.6677
22	10	63.7024
22	11	58.5248
23	0	0
23	1	18.2024
23	2	18.1468
23	3	8.3472
23	4	42.9152
23	5	43.6063
23	6	51.8963
23	7	56.6968
23	8	42.9152
23	9	43.6063
23	10	51.8963
23	11	56.6968
24	0	0
24	1	4.09465
24	2	-0.943607
24	3	-20.092
24	4	42.3292
24	5	49.6854
24	6	33.5789
24	7	16.4597
24	8	42.3292
24	9	49.6854
24	10	33.5789
24	11	16.4597
25	0	0
25	1	-17.1624
25	2	-38.1041
25	3	-39.5716
25	4	48.669
25	5	50.0292
25	6	52.6408
25	7	-12.1702
25	8	48.669
25	9	50.0292
25	10	52.6408
25	11	-12.1702
26	0	0
26	1	-2.25225
26	2	0.705086
26	3	0
26	4	39.4147
26	5	47.4972
26	6	48.0712
26	7	39.5034
26	8	39.4147
26	9	47.4972
26	10	48.0712
26	11	39.5034
27	0	0
27	1	-54.3285
27	2	-60.7913
27	3	-48.2302
27	4	0
27	5	0.672326
27	6	43.0792
27	7	24.9765
27	8	0
27	9	0.672326
27	10	43.0792
27	11	24.9765
