DetNum	FrontCh	Gain
4	0	1
4	1	1
4	2	1
4	3	1
4	4	1
4	5	1
4	6	1
4	7	1
4	8	0.972919
4	9	1.06904
4	10	0.927863
4	11	1.10454
5	0	1
5	1	1
5	2	1
5	3	1
5	4	1
5	5	1
5	6	1
5	7	1
5	8	1.03875
5	9	1.02807
5	10	1.03388
5	11	0.969906
6	0	1
6	1	1
6	2	1
6	3	1
6	4	1
6	5	1
6	6	1
6	7	1
6	8	0
6	9	0
6	10	0
6	11	0
7	0	1
7	1	1
7	2	1
7	3	1
7	4	1
7	5	1
7	6	1
7	7	1
7	8	1.03654
7	9	1.01095
7	10	1.01412
7	11	0.997442
8	0	1
8	1	1
8	2	1
8	3	1
8	4	1
8	5	1
8	6	1
8	7	1
8	8	0.998579
8	9	1.03096
8	10	1.05048
8	11	1.11675
9	0	1
9	1	1
9	2	1
9	3	1
9	4	1
9	5	1
9	6	1
9	7	1
9	8	0
9	9	0
9	10	0
9	11	0
10	0	1
10	1	1
10	2	1
10	3	1
10	4	1
10	5	1
10	6	1
10	7	1
10	8	0.997499
10	9	0.965735
10	10	0.948113
10	11	1.03082
11	0	1
11	1	1
11	2	1
11	3	1
11	4	1
11	5	1
11	6	1
11	7	1
11	8	1.08985
11	9	1.10129
11	10	1.11452
11	11	0
12	0	1
12	1	1
12	2	1
12	3	1
12	4	1
12	5	1
12	6	1
12	7	1
12	8	1.04644
12	9	0.995956
12	10	2.48023
12	11	0
13	0	1
13	1	1
13	2	1
13	3	1
13	4	1
13	5	1
13	6	1
13	7	1
13	8	0
13	9	0
13	10	0
13	11	0
14	0	1
14	1	1
14	2	1
14	3	1
14	4	1
14	5	1
14	6	1
14	7	1
14	8	1.03392
14	9	1.01845
14	10	1.08224
14	11	0.974233
15	0	1
15	1	1
15	2	1
15	3	1
15	4	1
15	5	1
15	6	1
15	7	1
15	8	0.994748
15	9	0.945029
15	10	1.05483
15	11	0.968618
16	0	1
16	1	1
16	2	1
16	3	1
16	4	1
16	5	1
16	6	1
16	7	1
16	8	0.902619
16	9	1.01411
16	10	0.8973
16	11	0.99588
17	0	1
17	1	1
17	2	1
17	3	1
17	4	1
17	5	1
17	6	1
17	7	1
17	8	1.0442
17	9	1.0924
17	10	1.09877
17	11	0.936788
18	0	1
18	1	1
18	2	1
18	3	1
18	4	1
18	5	1
18	6	1
18	7	1
18	8	0
18	9	0
18	10	0
18	11	0
19	0	1
19	1	1
19	2	1
19	3	1
19	4	1
19	5	1
19	6	1
19	7	1
19	8	1.03448
19	9	1.00756
19	10	1.05603
19	11	0.958708
20	0	1
20	1	1
20	2	1
20	3	1
20	4	1
20	5	1
20	6	1
20	7	1
20	8	0.923045
20	9	1.06914
20	10	1.03229
20	11	0.983319
21	0	1
21	1	1
21	2	1
21	3	1
21	4	1
21	5	1
21	6	1
21	7	1
21	8	1.08559
21	9	1.04968
21	10	1.0039
21	11	0.94063
22	0	1
22	1	1
22	2	1
22	3	1
22	4	1
22	5	1
22	6	1
22	7	1
22	8	0.959149
22	9	0.96184
22	10	0.94761
22	11	0.987863
23	0	1
23	1	1
23	2	1
23	3	1
23	4	1
23	5	1
23	6	1
23	7	1
23	8	1.00517
23	9	0.986726
23	10	1.04952
23	11	0.988313
24	0	1
24	1	1
24	2	1
24	3	1
24	4	1
24	5	1
24	6	1
24	7	1
24	8	0.967115
24	9	0.953169
24	10	0.959416
24	11	0.993401
25	0	1
25	1	1
25	2	1
25	3	1
25	4	1
25	5	1
25	6	1
25	7	1
25	8	1.05653
25	9	1.03305
25	10	1.0661
25	11	0.902294
26	0	1
26	1	1
26	2	1
26	3	1
26	4	1
26	5	1
26	6	1
26	7	1
26	8	1.03962
26	9	1.09982
26	10	1.06634
26	11	1.05686
27	0	1
27	1	1
27	2	1
27	3	1
27	4	1
27	5	1
27	6	1
27	7	1
27	8	0
27	9	0.985201
27	10	0.953449
27	11	0.935115
