DetNum	FrontCh	Gain
4	0	1.00074
4	1	0.946496
4	2	1.01352
4	3	0.974571
4	4	0.97608
4	5	0.949895
4	6	0.983332
4	7	0.901775
4	8	0.950081
4	9	1.01677
4	10	0.91231
4	11	0.996295
5	0	1.00014
5	1	0.990166
5	2	1.03221
5	3	1.00497
5	4	1.01349
5	5	1.02531
5	6	1.02918
5	7	1.06201
5	8	1.0527
5	9	1.05392
5	10	1.06408
5	11	1.02993
6	0	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
7	0	0.999572
7	1	1.06328
7	2	1.07762
7	3	1.09197
7	4	1.08648
7	5	1.05503
7	6	1.04308
7	7	1.05177
7	8	1.12568
7	9	1.06663
7	10	1.05776
7	11	1.04929
8	0	1.00019
8	1	0.986359
8	2	0.901394
8	3	0.974124
8	4	0.904926
8	5	0.935406
8	6	0.922376
8	7	0.884744
8	8	0.904038
8	9	0.964421
8	10	0.969388
8	11	0.988633
9	0	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	0
9	8	0
9	9	0
9	10	0
9	11	0
10	0	1.00683
10	1	0.936944
10	2	0.943394
10	3	0.916469
10	4	0.93096
10	5	0.949128
10	6	0.977966
10	7	0.906483
10	8	0.928668
10	9	0.916841
10	10	0.92753
10	11	0.934761
11	0	1.00757
11	1	0
11	2	0
11	3	0
11	4	0.967543
11	5	0.965757
11	6	0.961756
11	7	0
11	8	1.05629
11	9	1.05575
11	10	1.07667
11	11	0
12	0	0.999843
12	1	0.914243
12	2	0.960415
12	3	0.977041
12	4	0.91583
12	5	0.965669
12	6	0.84189
12	7	0
12	8	0.958117
12	9	0.962136
12	10	0
12	11	0
13	0	0
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	0
13	7	0
13	8	0
13	9	0
13	10	0
13	11	0
14	0	0.999331
14	1	0.944946
14	2	0.926122
14	3	0.943302
14	4	0.884425
14	5	0.932834
14	6	0.899821
14	7	0.963998
14	8	0.914464
14	9	0.950311
14	10	0.973947
14	11	0.939348
15	0	0.99985
15	1	0.978712
15	2	0.921296
15	3	0.972253
15	4	0.948551
15	5	0.976902
15	6	0.931433
15	7	0.9588
15	8	0.943731
15	9	0.923288
15	10	0.983509
15	11	0.929028
16	0	1.00913
16	1	1.06278
16	2	1.08446
16	3	1.05215
16	4	1.14579
16	5	1.07124
16	6	1.1435
16	7	1.10703
16	8	1.02955
16	9	1.08913
16	10	1.02997
16	11	1.10238
17	0	1.0001
17	1	0.9605
17	2	0.936452
17	3	1.50422
17	4	1.04541
17	5	1.00633
17	6	0.988371
17	7	1.13065
17	8	1.09188
17	9	1.09948
17	10	1.08605
17	11	1.058
18	0	0
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	0
18	8	0
18	9	0
18	10	0
18	11	0
19	0	1.01048
19	1	0.983581
19	2	0.995683
19	3	0.997826
19	4	1.03518
19	5	1.00478
19	6	0.933946
19	7	1.00486
19	8	1.07087
19	9	1.01256
19	10	0.986096
19	11	0.963918
20	0	0.999863
20	1	0.975159
20	2	0.925115
20	3	0.923338
20	4	0.988152
20	5	0.964262
20	6	0.962207
20	7	0.988647
20	8	0.912061
20	9	1.03093
20	10	0.992082
20	11	0.972602
21	0	1.00011
21	1	0.952756
21	2	0.918241
21	3	0.923896
21	4	0
21	5	0.941261
21	6	0
21	7	0.993259
21	8	0
21	9	0.988262
21	10	0
21	11	0.934339
22	0	0.996521
22	1	0.980365
22	2	0.998778
22	3	0.987363
22	4	1.02493
22	5	0.969252
22	6	1.02569
22	7	0.99939
22	8	0.983021
22	9	0.931773
22	10	0.971956
22	11	0.986737
23	0	0.998572
23	1	0.95209
23	2	0.949735
23	3	0.95296
23	4	0.955955
23	5	0.981109
23	6	0.936931
23	7	1.00868
23	8	0.961167
23	9	0.968159
23	10	0.983577
23	11	0.996797
24	0	1.00194
24	1	1.04654
24	2	1.01529
24	3	1.05698
24	4	1.01262
24	5	1.05406
24	6	1.084
24	7	1.01143
24	8	0.979316
24	9	1.0047
24	10	1.04
24	11	1.00476
25	0	1.00353
25	1	0.975921
25	2	1.05346
25	3	0.981527
25	4	0.99249
25	5	0.987539
25	6	1.01418
25	7	0.93039
25	8	1.04859
25	9	1.02018
25	10	1.08121
25	11	0.839476
26	0	1.00023
26	1	0.995536
26	2	1.00766
26	3	0
26	4	1.00808
26	5	0.982574
26	6	0.991623
26	7	1.01738
26	8	1.04802
26	9	1.08066
26	10	1.05741
26	11	1.07525
27	0	0.992319
27	1	1.00259
27	2	0.979068
27	3	0.992738
27	4	0
27	5	1.02638
27	6	1.00705
27	7	1.06873
27	8	0
27	9	1.0112
27	10	0.960169
27	11	0.999381
