DetNum	FrontCh	Gain
4	0	1
4	1	0.949389
4	2	1.01917
4	3	0.980023
4	4	0.976874
4	5	0.959154
4	6	0.987152
4	7	0.904569
4	8	0.950297
4	9	1.02689
4	10	0.915825
4	11	0.998834
5	0	1
5	1	0.989943
5	2	1.03165
5	3	1.00282
5	4	1.01412
5	5	1.02406
5	6	1.02848
5	7	1.06573
5	8	1.05348
5	9	1.05274
5	10	1.06326
5	11	1.03388
6	0	1
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
7	0	1
7	1	1.06139
7	2	1.07514
7	3	1.09141
7	4	1.0853
7	5	1.05411
7	6	1.03957
7	7	1.05186
7	8	1.12447
7	9	1.0657
7	10	1.05447
7	11	1.04928
8	0	1
8	1	0.986243
8	2	0.900612
8	3	0.973579
8	4	0.905098
8	5	0.933455
8	6	0.925343
8	7	0.88631
8	8	0.903987
8	9	0.962298
8	10	0.971998
8	11	0.990079
9	0	1
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	0
9	8	0
9	9	0
9	10	0
9	11	0
10	0	1
10	1	0.930879
10	2	0.936131
10	3	0.910735
10	4	0.925351
10	5	0.942489
10	6	0.973153
10	7	0.899344
10	8	0.923216
10	9	0.910238
10	10	0.922693
10	11	0.927259
11	0	1
11	1	0
11	2	0
11	3	0
11	4	0.946916
11	5	0.958617
11	6	0.959112
11	7	0
11	8	1.06513
11	9	1.05885
11	10	1.07758
11	11	0
12	0	1
12	1	0.912936
12	2	0.958526
12	3	0.974137
12	4	0.915814
12	5	0.964862
12	6	1.04406
12	7	0
12	8	0.958271
12	9	0.96097
12	10	1.16439
12	11	0
13	0	1
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	0
13	7	0
13	8	0
13	9	0
13	10	0
13	11	0
14	0	1
14	1	0.94843
14	2	0.929968
14	3	0.94635
14	4	0.889922
14	5	0.935195
14	6	0.9049
14	7	0.969503
14	8	0.920063
14	9	0.952721
14	10	0.979428
14	11	0.944609
15	0	1
15	1	0.986331
15	2	0.929464
15	3	0.97989
15	4	0.956079
15	5	0.981845
15	6	0.935372
15	7	0.9811
15	8	0.951067
15	9	0.927812
15	10	0.987276
15	11	0.950502
16	0	1
16	1	1.055
16	2	1.0778
16	3	1.04499
16	4	1.13661
16	5	1.06941
16	6	1.13343
16	7	1.09573
16	8	1.02219
16	9	1.0904
16	10	1.01995
16	11	1.08935
17	0	1
17	1	0.961898
17	2	0.937512
17	3	1.50573
17	4	1.03481
17	5	1.02129
17	6	0.990985
17	7	1.13548
17	8	1.08069
17	9	1.11491
17	10	1.08878
17	11	1.06336
18	0	1
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	0
18	8	0
18	9	0
18	10	0
18	11	0
19	0	1
19	1	0.975136
19	2	0.98604
19	3	0.96012
19	4	1.02275
19	5	1.00404
19	6	0.929595
19	7	0.994078
19	8	1.05784
19	9	1.01148
19	10	0.981625
19	11	0.953334
20	0	1
20	1	0.973544
20	2	0.92299
20	3	0.921398
20	4	0.98614
20	5	0.961827
20	6	0.963167
20	7	0.98564
20	8	0.909883
20	9	1.02876
20	10	0.994258
20	11	0.969381
21	0	1
21	1	0.955071
21	2	0.920515
21	3	0.929134
21	4	0
21	5	0.944228
21	6	0
21	7	0.996686
21	8	0
21	9	0.991194
21	10	0
21	11	0.937295
22	0	1
22	1	0.980388
22	2	0.999991
22	3	0.988574
22	4	1.02428
22	5	0.968645
22	6	1.03005
22	7	1.00175
22	8	0.982727
22	9	0.931338
22	10	0.975854
22	11	0.989348
23	0	1
23	1	0.9537
23	2	0.95215
23	3	0.956363
23	4	0.957667
23	5	0.983622
23	6	0.9363
23	7	1.01437
23	8	0.962857
23	9	0.970477
23	10	0.982871
23	11	1.0025
24	0	1
24	1	1.0453
24	2	1.01371
24	3	1.05563
24	4	1.01164
24	5	1.04988
24	6	1.08512
24	7	1.01017
24	8	0.979324
24	9	1.00109
24	10	1.04102
24	11	1.00396
25	0	1
25	1	0.987112
25	2	1.06894
25	3	1.00319
25	4	0.996718
25	5	0.992349
25	6	1.01759
25	7	1.1253
25	8	1.05348
25	9	1.02519
25	10	1.08391
25	11	1.01561
26	0	1
26	1	0.998637
26	2	1.01093
26	3	0
26	4	1.01328
26	5	0.987812
26	6	0.993749
26	7	1.02161
26	8	1.05317
26	9	1.08669
26	10	1.06016
26	11	1.08213
27	0	1
27	1	1
27	2	1
27	3	1
27	4	1
27	5	1
27	6	1
27	7	1
27	8	1
27	9	0.985075
27	10	0.952553
27	11	0.938118
