DetNum	FrontCh	BackCh	min	max
4	0	0	-0.760	-0.400
4	0	1	-0.387	-0.027
4	0	2	-0.013	 0.347
4	0	3	 0.353	 0.707
4	1	0	-0.760	-0.407
4	1	1	-0.393	-0.040
4	1	2	-0.020	 0.347
4	1	3	 0.360	 0.713
4	2	0	-0.827	-0.460
4	2	1	-0.440	-0.067
4	2	2	-0.040	 0.313
4	2	3	 0.333	 0.707
4	3	0	-0.767	-0.393
4	3	1	-0.367	-0.013
4	3	2	 0.000	 0.360
4	3	3	 0.367	 0.727
5	0	0	-0.807	-0.407
5	0	1	-0.393	 0.013
5	0	2	 0.027	 0.433
5	0	3	 0.440	 0.840
5	1	0	-0.840	-0.447
5	1	1	-0.433	-0.033
5	1	2	-0.020	 0.380
5	1	3	 0.387	 0.773
5	2	0	-0.820	-0.440
5	2	1	-0.427	-0.033
5	2	2	-0.013	 0.373
5	2	3	 0.393	 0.780
5	3	0	-0.900	-0.500
5	3	1	-0.480	-0.073
5	3	2	-0.060	 0.340
5	3	3	 0.360	 0.767
6	0	0	0	0
6	0	1	0	0
6	0	2	0	0
6	0	3	0	0
6	1	0	0	0
6	1	1	0	0
6	1	2	0	0
6	1	3	0	0
6	2	0	0	0
6	2	1	0	0
6	2	2	0	0
6	2	3	0	0
6	3	0	0	0
6	3	1	0	0
6	3	2	0	0
6	3	3	0	0
7	0	0	-0.807	-0.393
7	0	1	-0.387	 0.020
7	0	2	 0.033	 0.447
7	0	3	 0.453	 0.660
7	1	0	-0.840	-0.440
7	1	1	-0.433	-0.040
7	1	2	-0.020	 0.380
7	1	3	 0.387	 0.633
7	2	0	-0.813	-0.433
7	2	1	-0.420	-0.033
7	2	2	-0.007	 0.373
7	2	3	 0.393	 0.780
7	3	0	-0.887	-0.493
7	3	1	-0.473	-0.073
7	3	2	-0.060	 0.347
7	3	3	 0.353	 0.760
8	0	0	-0.820	-0.433
8	0	1	-0.420	-0.020
8	0	2	-0.013	 0.387
8	0	3	 0.400	 0.640
8	1	0	-0.820	-0.407
8	1	1	-0.393	 0.027
8	1	2	 0.033	 0.453
8	1	3	 0.460	 0.740
8	2	0	-0.813	-0.433
8	2	1	-0.420	-0.020
8	2	2	 0.000	 0.400
8	2	3	 0.407	 0.700
8	3	0	-0.807	-0.427
8	3	1	-0.413	-0.013
8	3	2	-0.007	 0.387
8	3	3	 0.400	 0.787
9	0	0	0	0
9	0	1	0	0
9	0	2	0	0
9	0	3	0	0
9	1	0	0	0
9	1	1	0	0
9	1	2	0	0
9	1	3	0	0
9	2	0	0	0
9	2	1	0	0
9	2	2	0	0
9	2	3	0	0
9	3	0	0	0
9	3	1	0	0
9	3	2	0	0
9	3	3	0	0
10	0	0	-0.827	-0.433
10	0	1	-0.420	-0.020
10	0	2	-0.013	 0.387
10	0	3	 0.393	 0.773
10	1	0	-0.847	-0.447
10	1	1	-0.433	-0.040
