DetNum	FrontCh	BackCh	min	max
4	0	0	-0.767	-0.393
4	0	1	-0.397	-0.027
4	0	2	-0.023	 0.343
4	0	3	 0.340	 0.707
4	1	0	-0.773	-0.400
4	1	1	-0.403	-0.033
4	1	2	-0.027	 0.350
4	1	3	 0.353	 0.713
4	2	0	-0.827	-0.447
4	2	1	-0.443	-0.070
4	2	2	-0.057	 0.320
4	2	3	 0.320	 0.717
4	3	0	-0.810	-0.387
4	3	1	-0.383	-0.010
4	3	2	-0.013	 0.353
4	3	3	 0.360	 0.727
5	0	0	-0.820	-0.403
5	0	1	-0.397	 0.020
5	0	2	 0.020	 0.433
5	0	3	 0.433	 0.840
5	1	0	-0.847	-0.437
5	1	1	-0.443	-0.033
5	1	2	-0.027	 0.383
5	1	3	 0.383	 0.783
5	2	0	-0.823	-0.433
5	2	1	-0.440	-0.027
5	2	2	-0.020	 0.380
5	2	3	 0.383	 0.783
5	3	0	-0.903	-0.490
5	3	1	-0.497	-0.067
5	3	2	-0.067	 0.357
5	3	3	 0.347	 0.767
6	0	0	-1.000	-0.500
6	0	1	-0.500	 0.000
6	0	2	 0.000	 0.500
6	0	3	 0.500	 1.000
6	1	0	-1.000	-0.500
6	1	1	-0.500	 0.000
6	1	2	 0.000	 0.500
6	1	3	 0.500	 1.000
6	2	0	-1.000	-0.500
6	2	1	-0.500	 0.000
6	2	2	 0.000	 0.500
6	2	3	 0.500	 1.000
6	3	0	-1.000	-0.500
6	3	1	-0.500	 0.000
6	3	2	 0.000	 0.500
6	3	3	 0.500	 1.000
7	0	0	-0.813	-0.397
7	0	1	-0.393	 0.023
7	0	2	 0.027	 0.453
7	0	3	 0.460	 0.723
7	1	0	-0.843	-0.440
7	1	1	-0.443	-0.033
7	1	2	-0.030	 0.387
7	1	3	 0.377	 0.783
7	2	0	-0.827	-0.423
7	2	1	-0.427	-0.027
7	2	2	-0.013	 0.370
7	2	3	 0.383	 0.787
7	3	0	-0.897	-0.490
7	3	1	-0.483	-0.063
7	3	2	-0.063	 0.347
7	3	3	 0.347	 0.763
8	0	0	-0.830	-0.430
8	0	1	-0.427	-0.020
8	0	2	-0.017	 0.393
8	0	3	 0.387	 0.770
8	1	0	-0.827	-0.407
8	1	1	-0.410	 0.020
8	1	2	 0.033	 0.453
8	1	3	 0.453	 0.763
8	2	0	-0.823	-0.427
8	2	1	-0.423	-0.023
8	2	2	-0.010	 0.400
8	2	3	 0.403	 0.723
8	3	0	-0.817	-0.423
8	3	1	-0.420	-0.013
8	3	2	-0.010	 0.390
8	3	3	 0.390	 0.787
9	0	0	-1.000	-0.500
9	0	1	-0.500	 0.000
9	0	2	 0.000	 0.500
9	0	3	 0.500	 1.000
9	1	0	-1.000	-0.500
9	1	1	-0.500	 0.000
9	1	2	 0.000	 0.500
9	1	3	 0.500	 1.000
9	2	0	-1.000	-0.500
9	2	1	-0.500	 0.000
9	2	2	 0.000	 0.500
9	2	3	 0.500	 1.000
9	3	0	-1.000	-0.500
9	3	1	-0.500	 0.000
9	3	2	 0.000	 0.500
9	3	3	 0.500	 1.000
10	0	0	-0.833	-0.427
10	0	1	-0.423	-0.027
10	0	2	-0.020	 0.390
10	0	3	 0.387	 0.783
10	1	0	-0.853	-0.440
10	1	1	-0.443	-0.037
10	1	2	-0.030	 0.377
10	1	3	 0.377	 0.770
10	2	0	-0.897	-0.487
10	2	1	-0.487	-0.070
10	2	2	-0.053	 0.347
10	2	3	 0.360	 0.773
10	3	0	-0.823	-0.417
10	3	1	-0.417	-0.007
10	3	2	-0.010	 0.393
