DetNum	Offset  	Slope
0	0.119438	0.00198396
1	0.0758994	0.00202021
2	0.0931367	0.00193324
3	0.078703	0.0021023
4	0.0542813	0.00217578
5	0.136849	0.00198063
6	0	1
7	0.0671663	0.00195621
8	0.104306	0.00217231
9	0	1
10	0.0932552	0.00220459
11	0.0370394	0.00203311
12	0.0447511	0.00214492
13	0	1
14	0.125987	0.00215858
15	0.0872932	0.00216078
16	0.0878202	0.00191044
17	-0.129039	0.00205503
18	0	1
19	0	1
20	0.183146	0.00210982
21	0.103232	0.00209678
22	0.131371	0.00201491
23	0.0961705	0.00206934
24	0.0972456	0.00197631
25	0.136142	0.00200129
26	0.0674746	0.00199562
27	0.195194	0.00199562
