DetNum	FrontCh	Offset
0	0	0.449212
0	1	10.5089
0	2	-1.71446
0	3	3.66368
0	4	-2.06312
0	5	6.28253
0	6	5.3783
0	7	2.81178
0	8	5.37617
0	9	13.2669
0	10	1.58954
0	11	3.42206
0	12	7.31752
0	13	10.5409
0	14	5.2345
0	15	30.1955
0	16	30.707
0	17	33.8791
0	18	28.8435
0	19	24.7384
0	20	28.411
0	21	24.0039
0	22	24.1919
0	23	25.9422
0	24	22.1292
0	25	22.1263
0	26	23.5258
0	27	20.1068
0	28	16.0565
0	29	20.4064
0	30	13.8468
0	31	16.2291
1	0	3.186
1	1	7.7318
1	2	3.03112
1	3	12.131
1	4	10.1442
1	5	13.0533
1	6	-1.27846
1	7	9.91137
1	8	6.01762
1	9	2.17588
1	10	-0.186799
1	11	2.16797
1	12	0.839898
1	13	-4.42557
1	14	-34.2235
1	15	-17.3415
1	16	-2.61277
1	17	0.199668
1	18	16.8918
1	19	22.3461
1	20	0
1	21	31.6106
1	22	33.6385
1	23	34.2694
1	24	39.3603
1	25	37.5425
1	26	31.5924
1	27	37.1381
1	28	33.6564
1	29	32.3496
1	30	0
1	31	28.0842
2	0	0
2	1	0
2	2	0
2	3	0
2	4	1.30027
2	5	0.408334
2	6	1.63446
2	7	-2.04299
2	8	-17.1372
2	9	-14.0651
2	10	-0.50162
2	11	-14.0867
2	12	-31.3784
2	13	-31.1955
2	14	-31.5703
2	15	-33.8553
2	16	-9.59235
2	17	-5.33745
2	18	4.10402
2	19	23.2861
2	20	25.9889
2	21	27.9873
2	22	33.65
2	23	36.0223
2	24	36.0926
2	25	85.9953
2	26	28.5897
2	27	49.593
2	28	27.1512
2	29	26.8685
2	30	0
2	31	0
3	0	-0.0434002
3	1	4.42174
3	2	3.83544
3	3	1.31909
3	4	1.2605
3	5	0.791998
3	6	-1.04976
3	7	3.73355
3	8	11.9254
3	9	9.26477
3	10	8.96846
3	11	11.3449
3	12	15.5194
3	13	140.174
3	14	4.3319
3	15	29.2875
3	16	26.3758
3	17	23.2508
3	18	26.2776
3	19	24.4298
3	20	23.0174
3	21	20.0602
3	22	22.1367
3	23	17.248
3	24	16.7624
3	25	16.4549
3	26	14.2654
3	27	16.8324
3	28	15.5294
3	29	19.3403
3	30	11.0693
3	31	8.36882
