DetNum	FrontCh	Gain
0	0	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	9	1
0	10	1
0	11	1
0	12	1
0	13	1
0	14	1
0	15	1
0	16	1.01224
0	17	0.990197
0	18	1.01448
0	19	1.01301
0	20	1.05083
0	21	0.996485
0	22	0.997329
0	23	1.00449
0	24	0.978494
0	25	1.01739
0	26	0.998336
0	27	0.988536
0	28	1.00126
0	29	0.974935
0	30	0.934093
0	31	1.04621
1	0	1
1	1	1
1	2	1
1	3	1
1	4	1
1	5	1
1	6	1
1	7	1
1	8	1
1	9	1
1	10	1
1	11	1
1	12	1
1	13	1
1	14	1
1	15	1
1	16	0.968317
1	17	0.973597
1	18	1.02679
1	19	1.01466
1	20	1
1	21	1.01136
1	22	0.966622
1	23	0.980497
1	24	1.02783
1	25	0.993199
1	26	0.990029
1	27	1.01858
1	28	1.01825
1	29	0.970748
1	30	1
1	31	0.989734
2	0	1
2	1	1
2	2	1
2	3	1
2	4	1
2	5	1
2	6	1
2	7	1
2	8	1
2	9	1
2	10	1
2	11	1
2	12	1
2	13	1
2	14	1
2	15	1
2	16	1
2	17	1
2	18	1
2	19	1
2	20	1
2	21	1
2	22	1
2	23	1
2	24	1
2	25	1
2	26	1
2	27	1
2	28	1
2	29	1
2	30	1
2	31	1
3	0	1
3	1	1
3	2	1
3	3	1
3	4	1
3	5	1
3	6	1
3	7	1
3	8	1
3	9	1
3	10	1
3	11	1
3	12	1
3	13	1
3	14	1
3	15	1
3	16	0.892952
3	17	0.9397
3	18	0.940497
3	19	0.951305
3	20	0.937251
3	21	0.93542
3	22	0.96044
3	23	0.929772
3	24	0.89843
3	25	0.941245
3	26	0.933365
3	27	0.967948
3	28	0.956688
3	29	0.97707
3	30	0.929524
3	31	0.98986
