DetNum	FrontCh	Gain
0	0	0.999866
0	1	1.01272
0	2	1.00276
0	3	0.997049
0	4	1.00889
0	5	0.998341
0	6	1.02011
0	7	1.07696
0	8	1.02997
0	9	1.0247
0	10	1.04879
0	11	1.03951
0	12	1.0186
0	13	1.01999
0	14	1.04173
0	15	1.04928
0	16	1.01212
0	17	0.990752
0	18	1.01452
0	19	1.01318
0	20	1.05016
0	21	0.996336
0	22	0.996788
0	23	1.00342
0	24	0.978447
0	25	1.01724
0	26	0.997857
0	27	0.988149
0	28	1.00029
0	29	0.974928
0	30	0.934736
0	31	1.04643
1	0	0.999085
1	1	0.98708
1	2	0.957717
1	3	0.993843
1	4	0.981593
1	5	1.02185
1	6	1.03378
1	7	0.981025
1	8	0.973826
1	9	0.957854
1	10	0.953884
1	11	0.971118
1	12	0.972594
1	13	0.9535
1	14	0.956867
1	15	0.972361
1	16	0.969467
1	17	0.973404
1	18	1.02674
1	19	1.01481
1	20	0
1	21	1.01114
1	22	0.966235
1	23	0.979741
1	24	1.02753
1	25	0.993925
1	26	0.990169
1	27	1.01822
1	28	1.01859
1	29	0.970324
1	30	0
1	31	0.990153
2	0	0
2	1	0
2	2	0
2	3	0
2	4	1.00044
2	5	1.06116
2	6	1.06426
2	7	1.0082
2	8	1.05236
2	9	1.04547
2	10	1.0424
2	11	1.01
2	12	1.0913
2	13	1.02315
2	14	1.05405
2	15	1.07089
2	16	1.11867
2	17	1.0142
2	18	1.02769
2	19	0.98006
2	20	1.00727
2	21	1.02231
2	22	1.04733
2	23	1.04708
2	24	1.08624
2	25	1.6504
2	26	1.01022
2	27	1.03452
2	28	1.01371
2	29	1.027
2	30	0
2	31	0
3	0	0.999982
3	1	0.997112
3	2	0.964388
3	3	0.978295
3	4	0.952491
3	5	0.98001
3	6	0.936759
3	7	0.967631
3	8	0.978226
3	9	0.926076
3	10	0.932953
3	11	0.963975
3	12	0.993814
3	13	0.872853
3	14	0.903606
3	15	0.963492
3	16	0.893916
3	17	0.938675
3	18	0.940349
3	19	0.951085
3	20	0.936956
3	21	0.935575
3	22	0.960553
3	23	0.929912
3	24	0.898542
3	25	0.941424
3	26	0.933304
3	27	0.968306
3	28	0.955702
3	29	0.977177
3	30	0.929702
3	31	0.989795
