DetNum	FrontCh	Gain
0	0	1.00034
0	1	1.0152
0	2	1.00284
0	3	0.991052
0	4	1.00661
0	5	0.995733
0	6	1.01805
0	7	1.07906
0	8	1.0286
0	9	1.02172
0	10	1.04833
0	11	1.04115
0	12	1.01838
0	13	1.02289
0	14	1.04262
0	15	1.04667
0	16	1.0122
0	17	0.991176
0	18	1.01474
0	19	1.0131
0	20	1.05024
0	21	0.99571
0	22	0.996715
0	23	1.00338
0	24	0.978052
0	25	1.01728
0	26	0.997737
0	27	0.988098
0	28	1.0002
0	29	0.97506
0	30	0.934283
0	31	1.04665
1	0	0.999785
1	1	0.98786
1	2	0.95729
1	3	0.998326
1	4	0.984377
1	5	1.02177
1	6	1.03551
1	7	0.982574
1	8	0.974748
1	9	0.959776
1	10	0.955915
1	11	0.974633
1	12	0.972883
1	13	0.954247
1	14	0.950416
1	15	0.974614
1	16	0.970253
1	17	0.973263
1	18	1.02618
1	19	1.01404
1	20	0
1	21	1.00898
1	22	0.96552
1	23	0.978951
1	24	1.02702
1	25	0.992975
1	26	0.989251
1	27	1.01739
1	28	1.01789
1	29	0.969457
1	30	0
1	31	0.989507
2	0	0
2	1	0
2	2	0
2	3	0
2	4	1.00198
2	5	1.06403
2	6	1.0606
2	7	1.01081
2	8	1.04932
2	9	1.04373
2	10	1.04492
2	11	1.00921
2	12	1.0935
2	13	1.02512
2	14	1.05373
2	15	1.07341
2	16	1.11916
2	17	1.01349
2	18	1.02692
2	19	0.980196
2	20	1.00734
2	21	1.02245
2	22	1.04719
2	23	1.04705
2	24	1.08636
2	25	1.65025
2	26	1.01002
2	27	1.03469
2	28	1.01341
2	29	1.02671
2	30	0
2	31	0
3	0	1.00067
3	1	0.995705
3	2	0.965492
3	3	0.976498
3	4	0.95395
3	5	0.979324
3	6	0.935687
3	7	0.968004
3	8	0.979436
3	9	0.926773
3	10	0.934046
3	11	0.964788
3	12	0.994309
3	13	0.883461
3	14	0.904636
3	15	0.964533
3	16	0.894051
3	17	0.938763
3	18	0.940601
3	19	0.95129
3	20	0.936771
3	21	0.935609
3	22	0.960754
3	23	0.929638
3	24	0.898488
3	25	0.941498
3	26	0.933204
3	27	0.968067
3	28	0.956278
3	29	0.977346
3	30	0.930084
3	31	0.990127
