DetNum	FrontCh	Offset
4	0	-0.0340593
4	1	22.0029
4	2	21.5695
4	3	5.0176
4	4	12.9106
4	5	36.0116
4	6	23.4243
4	7	50.7466
4	8	12.9106
4	9	36.0116
4	10	23.4243
4	11	50.7466
5	0	-0.0163889
5	1	-32.1655
5	2	-30.4687
5	3	-14.3432
5	4	46.9245
5	5	51.5979
5	6	58.0413
5	7	63.3341
5	8	46.9245
5	9	51.5979
5	10	58.0413
5	11	63.3341
6	0	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
7	0	0.057588
7	1	3.11086
7	2	-5.79367
7	3	-7.65678
7	4	64.8448
7	5	69.183
7	6	64.0287
7	7	78.0713
7	8	64.8448
7	9	69.183
7	10	64.0287
7	11	78.0713
8	0	0.0243888
8	1	-0.21534
8	2	-0.317906
8	3	-10.8029
8	4	41.6395
8	5	46.7678
8	6	53.7797
8	7	50.5699
8	8	41.6395
8	9	46.7678
8	10	53.7797
8	11	50.5699
9	0	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	0
9	8	0
9	9	0
9	10	0
9	11	0
10	0	-0.611585
10	1	9.54006
10	2	7.34583
10	3	-2.51663
10	4	61.2998
10	5	59.0113
10	6	47.1866
10	7	25.2734
10	8	61.2998
10	9	59.0113
10	10	47.1866
10	11	25.2734
11	0	0.269387
11	1	0
11	2	0
11	3	0
11	4	30.6793
11	5	60.2976
11	6	98.3504
11	7	0
11	8	30.6793
11	9	60.2976
11	10	98.3504
11	11	0
12	0	0.219878
12	1	16.5333
12	2	14.7749
12	3	-7.34406
12	4	73.8533
12	5	71.8546
12	6	381.918
12	7	0
12	8	73.8533
12	9	71.8546
12	10	381.918
12	11	0
13	0	0
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	0
13	7	0
13	8	0
13	9	0
13	10	0
13	11	0
14	0	0.230357
14	1	26.1176
14	2	29.0846
14	3	19.0618
14	4	15.6059
14	5	16.7249
14	6	27.696
14	7	26.321
14	8	15.6059
14	9	16.7249
14	10	27.696
14	11	26.321
15	0	-0.827576
15	1	41.0021
15	2	41.9634
15	3	26.0025
15	4	17.6938
15	5	18.9236
15	6	16.6197
15	7	54.8838
15	8	17.6938
15	9	18.9236
15	10	16.6197
15	11	54.8838
16	0	-0.0899804
16	1	9.1954
16	2	16.2398
16	3	-0.768468
16	4	52.5289
16	5	67.1353
16	6	45.7905
16	7	12.5027
16	8	52.5289
16	9	67.1353
16	10	45.7905
16	11	12.5027
17	0	1.22141
17	1	-7.09038
17	2	-8.19972
17	3	-102.334
17	4	11.9213
17	5	57.8539
17	6	35.4593
17	7	45.7071
17	8	11.9213
17	9	57.8539
17	10	35.4593
17	11	45.7071
18	0	0
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	0
18	8	0
18	9	0
18	10	0
18	11	0
19	0	-11.4268
19	1	25.5707
19	2	2.79408
19	3	-374.27
19	4	48.7206
19	5	63.7824
19	6	39.2608
19	7	8.96891
19	8	48.7206
19	9	63.7824
19	10	39.2608
19	11	8.96891
20	0	2.08726
20	1	14.0377
20	2	6.57036
20	3	-8.15822
20	4	39.7829
20	5	51.0475
20	6	57.0688
20	7	43.308
20	8	39.7829
20	9	51.0475
20	10	57.0688
20	11	43.308
21	0	-1.95355
21	1	22.4613
21	2	17.2916
21	3	16.1242
21	4	0
21	5	52.3021
21	6	0
21	7	56.1772
21	8	0
21	9	52.3021
21	10	0
21	11	56.1772
22	0	9.67993
22	1	5.63561
22	2	2.05897
22	3	-2.88569
22	4	45.0589
22	5	47.9537
22	6	67.232
22	7	57.6089
22	8	45.0589
22	9	47.9537
22	10	67.232
22	11	57.6089
23	0	-0.204599
23	1	15.5734
23	2	18.3439
23	3	1.85507
23	4	39.588
23	5	45.8222
23	6	48.1345
23	7	60.5614
23	8	39.588
23	9	45.8222
23	10	48.1345
23	11	60.5614
24	0	-0.0242698
24	1	13.5543
24	2	3.75318
24	3	-17.2932
24	4	49.6848
24	5	49.2957
24	6	40.3457
24	7	13.0301
24	8	49.6848
24	9	49.2957
24	10	40.3457
24	11	13.0301
25	0	-14.3084
25	1	47.1386
25	2	50.0903
25	3	67.5998
25	4	54.1107
25	5	55.3057
25	6	58.1963
25	7	394.518
25	8	54.1107
25	9	55.3057
25	10	58.1963
25	11	394.518
26	0	0.108313
26	1	8.06929
26	2	10.7322
26	3	0
26	4	52.1884
26	5	51.0865
26	6	48.7372
26	7	51.0403
26	8	52.1884
26	9	51.0865
26	10	48.7372
26	11	51.0403
27	0	23.5777
27	1	6.22556
27	2	-7.90462
27	3	-8.01735
27	4	0
27	5	40.7639
27	6	56.7238
27	7	56.7093
27	8	0
27	9	40.7639
27	10	56.7238
27	11	56.7093
