 DetID      Z            X0            X4           Y0           Y4       
     4     1.850000    -4.235341    -0.371638     8.079102     9.114378
     5     1.850000    -7.707464    -4.879037     4.879036     7.707464
     6     1.850000    -9.114377    -8.079102     0.371638     4.235341
     7     1.850000    -8.079101    -9.114378    -4.235341    -0.371638
     8     1.850000    -4.879035    -7.707464    -7.707463    -4.879037
     9     1.850000    -0.371637    -4.235341    -9.114377    -8.079102
    10     1.850000     4.235342     0.371638    -8.079101    -9.114378
    11     1.850000     7.707463     4.879037    -4.879035    -7.707464
    12     1.850000     9.114376     8.079102    -0.371636    -4.235341
    13     1.850000     8.079100     9.114378     4.235342     0.371638
    14     1.850000     4.879035     7.707464     7.707463     4.879037
    15     1.850000     0.371636     4.235341     9.114376     8.079102
    16    14.550000    -4.235342    -0.371638     8.079100     9.114378
    17    14.550000    -7.707463    -4.879037     4.879035     7.707464
    18    14.550000    -9.114376    -8.079102     0.371636     4.235341
    19    14.550000    -8.079100    -9.114378    -4.235342    -0.371638
    20    14.550000    -4.879035    -7.707464    -7.707463    -4.879037
    21    14.550000    -0.371636    -4.235341    -9.114376    -8.079102
    22    14.550000     4.235342     0.371638    -8.079100    -9.114378
    23    14.550000     7.707463     4.879037    -4.879035    -7.707464
    24    14.550000     9.114376     8.079102    -0.371636    -4.235341
    25    14.550000     8.079100     9.114378     4.235342     0.371638
    26    14.550000     4.879035     7.707464     7.707463     4.879037
    27    14.550000     0.371636     4.235341     9.114376     8.079102
