ID	Chan	Offset  	Volts/Chan
2	0	-0.00151026	3.47316e-05
2	1	-0.00113835	3.4845e-05
2	2	-0.00213829	3.22467e-05
2	3	-0.00136596	3.3897e-05
2	4	-0.00219988	3.42185e-05
2	5	-0.00221355	3.52844e-05
2	6	-0.00179677	3.27348e-05
2	7	-0.00234118	3.83048e-05
2	8	-0.00144252	3.28726e-05
2	9	-0.00118957	3.44324e-05
2	10	-0.00168128	3.39718e-05
2	11	-0.00158873	3.54661e-05
2	12	-0.001924	3.66995e-05
2	13	-0.00147614	3.41826e-05
2	14	-0.00157284	3.17189e-05
2	15	-0.00159065	3.5701e-05
2	16	-0.00226123	3.42296e-05
2	17	-0.0022377	3.73175e-05
2	18	-0.00229938	3.4069e-05
2	19	-0.00230781	3.32168e-05
2	20	-0.00236534	3.40349e-05
2	21	-0.00150076	3.17501e-05
2	22	-0.00224295	3.04791e-05
2	23	-0.00146935	3.54325e-05
2	24	-0.00213789	3.20202e-05
2	25	-0.00191727	3.47316e-05
2	26	-0.0023216	3.3519e-05
2	27	-0.00142843	3.4369e-05
2	28	-0.00232122	3.53717e-05
2	29	-0.00226401	3.30381e-05
2	30	-0.00160123	3.38358e-05
2	31	-0.00162913	3.49894e-05
3	1	-0.000930362	3.22787e-05
3	2	-0.0019937	3.36249e-05
3	3	-0.00106386	3.66995e-05
3	4	-0.00230377	3.73623e-05
3	5	-0.00230575	3.24683e-05
3	6	-0.00159065	3.5701e-05
3	7	-0.00196459	3.36895e-05
3	8	-0.00194251	3.31034e-05
3	9	-0.0019635	3.42814e-05
3	10	-0.00239715	3.63699e-05
3	11	-0.00233882	3.47263e-05
3	12	-0.00231058	3.20588e-05
3	13	-0.00332485	3.43374e-05
3	14	-0.00145432	3.30407e-05
3	15	-0.00237444	3.54937e-05
